"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta";"3114";"Siuntio";"755";"yhteensä";2015;19.6;121
"Koulutustasomittain";"180";"Suomussalmi";"777";"yhteensä";2015;262;
"Ahtaasti asuvat asuntokunnat, % kaikista asuntokunnista";"183";"Suomussalmi";"777";"yhteensä";2015;6.1;257
"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta";"3113";"Suomussalmi";"777";"yhteensä";2015;5.3;44
"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta";"3114";"Suomussalmi";"777";"yhteensä";2015;17.5;146
"Koulutustasomittain";"180";"Tyrnävä";"859";"yhteensä";2015;334;
"Ahtaasti asuvat asuntokunnat, % kaikista asuntokunnista";"183";"Tyrnävä";"859";"yhteensä";2015;17.3;391
"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta";"3113";"Tyrnävä";"859";"yhteensä";2015;4.6;31
"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta";"3114";"Tyrnävä";"859";"yhteensä";2015;9.0;61
"Koulutustasomittain";"180";"Vaala";"785";"yhteensä";2015;263;
"Ahtaasti asuvat asuntokunnat, % kaikista asuntokunnista";"183";"Vaala";"785";"yhteensä";2015;7.9;123
"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta";"3113";"Vaala";"785";"yhteensä";2015;9.8;30
"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta";"3114";"Vaala";"785";"yhteensä";2015;29.6;91
"Koulutustasomittain";"180";"Valtimo";"911";"yhteensä";2015;244;
"Ahtaasti asuvat asuntokunnat, % kaikista asuntokunnista";"183";"Valtimo";"911";"yhteensä";2015;9.1;108
"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta";"3113";"Valtimo";"911";"yhteensä";2015;3.4;8
"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta";"3114";"Valtimo";"911";"yhteensä";2015;12.9;30
"Koulutustasomittain";"180";"Vesilahti";"922";"yhteensä";2015;376;
"Ahtaasti asuvat asuntokunnat, % kaikista asuntokunnista";"183";"Vesilahti";"922";"yhteensä";2015;9.4;165
"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta";"3113";"Vesilahti";"922";"yhteensä";2015;3.1;14
"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta";"3114";"Vesilahti";"922";"yhteensä";2015;13.1;59
"Koulutustasomittain";"180";"Ylöjärvi";"980";"yhteensä";2015;368;
"Ahtaasti asuvat asuntokunnat, % kaikista asuntokunnista";"183";"Ylöjärvi";"980";"yhteensä";2015;9.9;1328
"Poliisin tietoon tulleet henkeen ja terveyteen kohdistuneet rikokset / 1 000 asukasta";"3113";"Ylöjärvi";"980";"yhteensä";2015;4.6;151
"Poliisin tietoon tulleet omaisuusrikokset / 1 000 asukasta";"3114";"Ylöjärvi";"980";"yhteensä";2015;26.4;863
